
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
01/16/2023	14 - 33 - 4 - 61 - 39	3	3	$416 Million	Roll	
01/14/2023	24 - 26 - 57 - 39 - 47	23	2	$404 Million	Roll	
01/11/2023	4 - 47 - 48 - 8 - 46	5	3	$360 Million	Roll	
01/09/2023	18 - 43 - 48 - 60 - 69	14	3	$340 Million	Roll	
01/07/2023	45 - 36 - 67 - 35 - 44	14	3	$325 Million	Roll	
01/04/2023	68 - 12 - 56 - 32 - 67	26	3	$291 Million	Roll	
01/02/2023	9 - 62 - 12 - 7 - 31	22	2	$265 Million	Roll	
12/31/2022	18 - 37 - 44 - 64 - 50	11	3	$246 Million	Roll	
12/28/2022	32 - 38 - 45 - 26 - 56	1	2	$215 Million	Roll	
12/26/2022	60 - 41 - 47 - 17 - 61	17	3	$201 Million	Roll	
12/24/2022	37 - 17 - 67 - 54 - 46	8	3	$186 Million	Roll	
12/21/2022	34 - 15 - 59 - 24 - 12	14	2	$170 Million	Roll	
12/19/2022	55 - 37 - 65 - 7 - 67	12	5	$158 Million	Roll	
12/17/2022	56 - 33 - 66 - 68 - 64	12	2	$149 Million	Roll	
12/14/2022	36 - 51 - 68 - 66 - 59	25	10	$134 Million	Roll	
12/12/2022	55 - 16 - 50 - 31 - 61	9	4	$124 Million	Roll	
12/10/2022	23 - 9 - 68 - 49 - 47	19	2	$116 Million	Roll	
12/07/2022	61 - 59 - 28 - 6 - 44	21	2	$100 Million	Roll	
12/05/2022	35 - 54 - 55 - 45 - 47	14	2	$89 Million	Roll	
12/03/2022	13 - 36 - 37 - 6 - 33	7	4	$81 Million	Roll	
11/30/2022	4 - 24 - 47 - 66 - 19	10	2	$65 Million	Roll	
11/28/2022	48 - 30 - 50 - 32 - 29	20	2	$56 Million	Roll	
11/26/2022	15 - 30 - 47 - 50 - 51	3	10	$48 Million	Roll	
11/23/2022	31 - 2 - 1 - 39 - 66	25	2	$30 Million	Roll	
11/21/2022	1 - 67 - 51 - 40 - 6	2	2	$20 Million	Roll	
11/19/2022	62 - 63 - 28 - 7 - 64	10	3	$93 Million	Out of State Winner	
11/16/2022	53 - 56 - 28 - 34 - 51	11	2	$76 Million	Roll	
11/14/2022	54 - 67 - 19 - 53 - 35	21	2	$59 Million	Roll	
11/12/2022	58 - 57 - 20 - 44 - 16	6	4	$47 Million	Roll	
11/09/2022	14 - 24 - 7 - 30 - 56	7	2	$20 Million	Roll	
11/07/2022	56 - 41 - 33 - 47 - 10	10	2	$1.90 Billion	Out of State Winner	
11/05/2022	69 - 53 - 45 - 56 - 28	20	3	$1.60 Billion	Roll	
11/02/2022	22 - 11 - 60 - 2 - 35	23	2	$1.20 Billion	Roll	
10/31/2022	19 - 13 - 39 - 59 - 36	13	3	$1.00 Billion	Roll	
10/29/2022	40 - 19 - 57 - 31 - 46	23	3	$825 Million	Roll	
10/26/2022	46 - 37 - 19 - 56 - 36	24	2	$700 Million	Roll	
10/24/2022	23 - 45 - 54 - 35 - 18	16	4	$625 Million	Roll	
10/22/2022	55 - 25 - 60 - 19 - 48	18	2	$580 Million	Roll	
10/19/2022	27 - 42 - 15 - 8 - 6	10	3	$508 Million	Roll	
10/17/2022	46 - 30 - 36 - 19 - 60	25	3	$480 Million	Roll	
10/15/2022	32 - 62 - 40 - 58 - 37	15	5	$454 Million	Roll	
10/12/2022	59 - 30 - 42 - 14 - 41	6	5	$420 Million	Roll	
10/10/2022	17 - 3 - 22 - 11 - 6	11	2	$401 Million	Roll	
10/08/2022	53 - 60 - 68 - 43 - 13	5	2	$378 Million	Roll	
10/05/2022	26 - 37 - 33 - 62 - 30	6	2	$353 Million	Roll	
10/03/2022	55 - 63 - 2 - 16 - 22	22	4	$336 Million	Roll	
10/01/2022	69 - 22 - 21 - 65 - 8	26	2	$322 Million	Roll	
09/28/2022	10 - 67 - 33 - 24 - 6	11	3	$300 Million	Roll	
09/26/2022	31 - 33 - 13 - 20 - 59	20	3	$285 Million	Roll	
09/24/2022	3 - 21 - 29 - 24 - 9	14	2	$270 Million	Roll	
09/21/2022	33 - 34 - 6 - 54 - 45	7	2	$251 Million	Roll	
09/19/2022	7 - 15 - 67 - 46 - 36	7	2	$238 Million	Roll	
09/17/2022	5 - 25 - 36 - 61 - 51	1	3	$225 Million	Roll	
09/14/2022	20 - 10 - 22 - 52 - 9	25	3	$206 Million	Roll	
09/12/2022	66 - 14 - 34 - 6 - 16	25	3	$193 Million	Roll	
09/10/2022	56 - 68 - 38 - 42 - 69	4	2	$186 Million	Roll	
09/07/2022	3 - 33 - 16 - 30 - 36	20	3	$170 Million	Roll	
09/05/2022	4 - 7 - 55 - 32 - 64	25	2	$159 Million	Roll	
09/03/2022	18 - 27 - 65 - 49 - 69	9	2	$148 Million	Roll	
08/31/2022	24 - 19 - 7 - 8 - 28	1	2	$134 Million	Roll	
08/29/2022	69 - 61 - 43 - 13 - 36	18	3	$124 Million	Roll	
08/27/2022	2 - 65 - 60 - 18 - 56	14	3	$115 Million	Roll	
08/24/2022	37 - 35 - 6 - 24 - 44	22	4	$100 Million	Roll	
08/22/2022	12 - 55 - 67 - 27 - 34	9	2	$90 Million	Roll	
08/20/2022	16 - 11 - 9 - 66 - 5	7	2	$80 Million	Roll	
08/17/2022	41 - 23 - 55 - 50 - 28	24	2	$66 Million	Roll	
08/15/2022	20 - 50 - 47 - 63 - 24	5	2	$56 Million	Roll	
08/13/2022	43 - 35 - 24 - 62 - 19	2	10	$48 Million	Roll	
08/10/2022	68 - 59 - 61 - 44 - 29	19	2	$35 Million	Roll	
08/08/2022	58 - 45 - 51 - 57 - 32	12	2	$26 Million	Roll	
08/06/2022	15 - 8 - 46 - 56 - 68	3	2	$20 Million	Roll	
08/03/2022	9 - 66 - 21 - 57 - 56	11	2	$202 Million	Out of State Winner	
08/01/2022	31 - 65 - 36 - 15 - 21	16	3	$187 Million	Roll	
07/30/2022	17 - 4 - 58 - 68 - 57	12	3	$170 Million	Roll	
07/27/2022	25 - 55 - 1 - 44 - 57	26	2	$145 Million	Roll	
07/25/2022	25 - 37 - 38 - 39 - 65	5	2	$130 Million	Roll	
07/23/2022	59 - 39 - 41 - 54 - 62	12	3	$119 Million	Roll	
07/20/2022	20 - 10 - 65 - 23 - 49	22	3	$101 Million	Roll	
07/18/2022	36 - 14 - 50 - 58 - 34	5	3	$89 Million	Roll	
07/16/2022	23 - 57 - 32 - 18 - 3	21	2	$82 Million	Roll	
07/13/2022	22 - 23 - 47 - 63 - 36	2	2	$66 Million	Roll	
07/11/2022	52 - 37 - 34 - 4 - 26	9	2	$56 Million	Roll	
07/09/2022	42 - 22 - 52 - 46 - 14	24	3	$48 Million	Roll	
07/06/2022	36 - 32 - 69 - 49 - 62	13	2	$35 Million	Roll	
07/04/2022	16 - 15 - 56 - 31 - 24	4	2	$26 Million	Roll	
07/02/2022	59 - 10 - 9 - 37 - 62	26	3	$20 Million	Roll	
06/29/2022	63 - 40 - 8 - 49 - 58	14	3	$365 Million	Out of State Winner	
06/27/2022	13 - 30 - 37 - 18 - 11	16	3	$346 Million	Roll	
