
Draw_Date	Winning_Numbers	Powerball	Power_Play	Estimated_Jackpot	Jackpot_Winners	Jackpot_Option
03/28/2018	53 - 8 - 52 - 6 - 26	21	2	$40 Million	Roll	
03/24/2018	33 - 56 - 53 - 10 - 45	24	3	$54 Million	Out of State Winner	
03/21/2018	29 - 4 - 61 - 3 - 18	25	2	$40 Million	Roll	
03/17/2018	60 - 66 - 22 - 59 - 57	7	2	$455 Million	Out of State Winner	
03/14/2018	12 - 24 - 6 - 41 - 68	9	3	$420 Million	Roll	
03/10/2018	69 - 43 - 54 - 44 - 61	22	3	$385 Million	Roll	
03/07/2018	36 - 6 - 19 - 13 - 51	18	2	$348 Million	Roll	
03/03/2018	40 - 17 - 36 - 25 - 13	5	2	$321 Million	Roll	
02/28/2018	69 - 12 - 65 - 59 - 30	16	5	$293 Million	Roll	
02/24/2018	38 - 25 - 62 - 63 - 24	6	2	$269 Million	Roll	
02/21/2018	7 - 36 - 31 - 15 - 34	8	3	$246 Million	Roll	
02/17/2018	26 - 62 - 39 - 13 - 44	2	3	$223 Million	Roll	
02/14/2018	44 - 46 - 37 - 39 - 69	26	2	$203 Million	Roll	
02/10/2018	27 - 13 - 41 - 59 - 1	20	5	$184 Million	Roll	
02/07/2018	40 - 35 - 34 - 47 - 23	10	2	$165 Million	Roll	
02/03/2018	15 - 48 - 23 - 27 - 53	6	2	$145 Million	Roll	
01/31/2018	7 - 4 - 14 - 59 - 46	22	10	$127 Million	Roll	
01/27/2018	54 - 26 - 17 - 21 - 47	7	2	$112 Million	Roll	
01/24/2018	11 - 9 - 5 - 33 - 64	21	3	$92 Million	Roll	
01/20/2018	28 - 26 - 58 - 47 - 49	3	4	$78 Million	Roll	
01/17/2018	33 - 51 - 3 - 37 - 57	21	2	$62 Million	Roll	
01/13/2018	69 - 25 - 35 - 14 - 58	24	2	$50 Million	Roll	
01/10/2018	7 - 24 - 50 - 49 - 33	4	5	$40 Million	Roll	
01/06/2018	12 - 61 - 30 - 29 - 33	26	3	$570 Million	Out of State Winner	
01/03/2018	42 - 39 - 18 - 2 - 37	12	3	$460 Million	Roll	
12/30/2017	58 - 28 - 51 - 41 - 36	24	2	$384 Million	Roll	
12/27/2017	16 - 60 - 3 - 56 - 9	3	3	$337 Million	Roll	
12/23/2017	44 - 15 - 1 - 13 - 3	25	2	$300 Million	Roll	
12/20/2017	20 - 61 - 64 - 1 - 69	20	2	$269 Million	Roll	
12/16/2017	35 - 63 - 37 - 9 - 50	11	2	$250 Million	Roll	
12/13/2017	2 - 28 - 51 - 58 - 24	7	3	$229 Million	Roll	
12/09/2017	36 - 60 - 55 - 37 - 25	6	5	$212 Million	Roll	
12/06/2017	50 - 19 - 55 - 62 - 20	9	2	$193 Million	Roll	
12/02/2017	32 - 30 - 36 - 28 - 58	6	3	$177 Million	Roll	
11/29/2017	59 - 28 - 26 - 24 - 63	16	3	$163 Million	Roll	
11/25/2017	53 - 8 - 54 - 27 - 13	4	2	$149 Million	Roll	
11/22/2017	61 - 51 - 37 - 46 - 35	13	2	$134 Million	Roll	
11/18/2017	17 - 31 - 28 - 32 - 39	26	3	$119 Million	Roll	
11/15/2017	48 - 32 - 44 - 50 - 23	25	2	$103 Million	Roll	
11/11/2017	56 - 6 - 4 - 30 - 16	18	2	$90 Million	Roll	
11/08/2017	12 - 21 - 14 - 34 - 20	22	2	$75 Million	Roll	
11/04/2017	51 - 48 - 12 - 26 - 14	13	3	$64 Million	Roll	
11/01/2017	26 - 3 - 19 - 6 - 44	1	2	$52 Million	Roll	
10/28/2017	35 - 27 - 57 - 66 - 38	10	2	$40 Million	Roll	
10/25/2017	57 - 54 - 29 - 22 - 18	8	3	$191 Million	Out of State Winner	
10/21/2017	14 - 45 - 69 - 41 - 42	4	2	$173 Million	Roll	
10/18/2017	69 - 54 - 49 - 30 - 66	8	2	$156 Million	Roll	
10/14/2017	56 - 37 - 69 - 32 - 66	11	3	$143 Million	Roll	
10/11/2017	1 - 69 - 19 - 3 - 13	23	2	$128 Million	Roll	
10/07/2017	61 - 10 - 49 - 65 - 63	7	2	$112 Million	Roll	
10/04/2017	23 - 63 - 62 - 66 - 22	24	2	$94 Million	Roll	
09/30/2017	8 - 25 - 12 - 41 - 64	15	3	$80 Million	Roll	
09/27/2017	21 - 25 - 10 - 23 - 8	22	3	$66 Million	Roll	
09/23/2017	45 - 24 - 56 - 55 - 57	19	2	$53 Million	Roll	
09/20/2017	68 - 48 - 67 - 39 - 53	26	3	$40 Million	Roll	
09/16/2017	31 - 24 - 25 - 17 - 18	24	2	$132 Million	Out of State Winner	
09/13/2017	24 - 63 - 35 - 57 - 17	19	3	$115 Million	Roll	
09/09/2017	59 - 20 - 6 - 57 - 29	22	2	$102 Million	Roll	
09/06/2017	32 - 14 - 8 - 58 - 67	17	3	$83 Million	Roll	
09/02/2017	62 - 41 - 21 - 52 - 6	26	2	$68 Million	Roll	
08/30/2017	43 - 19 - 69 - 28 - 67	7	2	$53 Million	Roll	
08/26/2017	66 - 15 - 7 - 38 - 32	15	2	$40 Million	Roll	
08/23/2017	7 - 26 - 16 - 23 - 6	4	4	$700 Million	Out of State Winner	
08/19/2017	17 - 68 - 19 - 43 - 39	13	4	$535 Million	Roll	
08/16/2017	64 - 43 - 60 - 9 - 15	4	3	$430 Million	Roll	
08/12/2017	35 - 20 - 49 - 26 - 24	19	2	$356 Million	Roll	
08/09/2017	12 - 30 - 47 - 62 - 36	9	4	$307 Million	Roll	
08/05/2017	33 - 21 - 45 - 11 - 28	11	2	$286 Million	Roll	
08/02/2017	16 - 1 - 54 - 63 - 69	18	3	$261 Million	Roll	
07/29/2017	1 - 40 - 28 - 48 - 45	12	2	$239 Million	Roll	
07/26/2017	19 - 42 - 21 - 7 - 69	12	2	$220 Million	Roll	
07/22/2017	44 - 32 - 60 - 5 - 53	9	3	$205 Million	Roll	
07/19/2017	63 - 51 - 59 - 61 - 50	4	5	$187 Million	Roll	
07/15/2017	40 - 66 - 9 - 64 - 63	17	2	$172 Million	Roll	
07/12/2017	18 - 23 - 2 - 61 - 1	9	2	$155 Million	Roll	
07/08/2017	29 - 8 - 40 - 59 - 10	26	2	$140 Million	Roll	
07/05/2017	54 - 9 - 68 - 4 - 16	21	2	$121 Million	Roll	
07/01/2017	45 - 19 - 42 - 53 - 48	16	3	$106 Million	Roll	
06/28/2017	46 - 37 - 29 - 53 - 68	8	2	$92 Million	Roll	
06/24/2017	36 - 32 - 22 - 58 - 10	10	4	$79 Million	Roll	
06/21/2017	65 - 14 - 46 - 68 - 61	13	2	$64 Million	Roll	
06/17/2017	13 - 62 - 10 - 53 - 32	21	2	$52 Million	Roll	
06/14/2017	63 - 22 - 5 - 43 - 57	24	2	$40 Million	Roll	
06/10/2017	32 - 26 - 20 - 38 - 58	3	2	$435 Million	Out of State Winner	
06/07/2017	66 - 57 - 5 - 69 - 21	13	3	$375 Million	Roll	
06/03/2017	54 - 41 - 9 - 3 - 21	25	4	$337 Million	Roll	
05/31/2017	60 - 39 - 33 - 4 - 46	6	2	$302 Million	Roll	
05/27/2017	55 - 10 - 5 - 67 - 28	9	3	$275 Million	Roll	
05/24/2017	38 - 28 - 33 - 32 - 62	15	2	$250 Million	Roll	
05/20/2017	45 - 5 - 47 - 54 - 22	3	2	$228 Million	Roll	
05/17/2017	39 - 4 - 48 - 45 - 11	9	3	$204 Million	Roll	
05/13/2017	68 - 17 - 20 - 63 - 32	19	5	$184 Million	Roll	
05/10/2017	62 - 31 - 56 - 46 - 29	8	2	$165 Million	Roll	
05/06/2017	31 - 21 - 11 - 41 - 59	21	3	$147 Million	Roll	
05/03/2017	18 - 49 - 66 - 17 - 59	9	2	$130 Million	Roll	
04/29/2017	24 - 22 - 23 - 62 - 45	5	2	$113 Million	Roll	
04/26/2017	18 - 1 - 51 - 15 - 26	26	4	$100 Million	Roll	
04/22/2017	39 - 21 - 48 - 41 - 63	6	3	$90 Million	Roll	
04/19/2017	1 - 19 - 52 - 40 - 37	15	3	$80 Million	Roll	
04/15/2017	61 - 26 - 45 - 5 - 22	13	3	$70 Million	Roll	
04/12/2017	68 - 63 - 14 - 8 - 61	24	2	$60 Million	Roll	
04/08/2017	51 - 53 - 36 - 23 - 60	15	2	$50 Million	Roll	
04/05/2017	53 - 20 - 54 - 46 - 8	13	2	$40 Million	Roll	
04/01/2017	65 - 9 - 44 - 36 - 32	1	3	$60 Million	Out of State Winner	
03/29/2017	8 - 62 - 31 - 36 - 15	11	3	$50 Million	Roll	
03/25/2017	32 - 18 - 31 - 48 - 45	16	4	$40 Million	Roll	
03/22/2017	2 - 29 - 9 - 27 - 42	9	2	$155 Million	Out of State Winner	
03/18/2017	25 - 67 - 54 - 44 - 13	5	3	$141 Million	Roll	
03/15/2017	30 - 16 - 41 - 48 - 53	16	3	$123 Million	Roll	
03/11/2017	57 - 41 - 50 - 26 - 1	11	2	$104 Million	Roll	
03/08/2017	42 - 23 - 59 - 46 - 33	4	2	$85 Million	Roll	
03/04/2017	2 - 22 - 63 - 19 - 18	19	3	$68 Million	Roll	
03/01/2017	16 - 10 - 52 - 40 - 55	17	10	$53 Million	Roll	
02/25/2017	6 - 62 - 32 - 47 - 65	19	2	$40 Million	Roll	
02/22/2017	52 - 10 - 61 - 28 - 13	2	2	$403 Million	Out of State Winner	
02/18/2017	9 - 3 - 33 - 7 - 31	20	3	$349 Million	Roll	
02/15/2017	33 - 5 - 42 - 38 - 28	19	2	$310 Million	Roll	
02/11/2017	37 - 64 - 17 - 9 - 5	2	2	$285 Million	Roll	
02/08/2017	49 - 20 - 42 - 14 - 66	5	2	$255 Million	Roll	
02/04/2017	52 - 17 - 16 - 13 - 6	25	3	$229 Million	Roll	
02/01/2017	9 - 60 - 64 - 43 - 57	10	2	$206 Million	Roll	
01/28/2017	39 - 12 - 49 - 69 - 20	17	2	$187 Million	Roll	
01/25/2017	18 - 62 - 66 - 68 - 28	22	2	$170 Million	Roll	
01/21/2017	45 - 25 - 23 - 67 - 52	2	2	$153 Million	Roll	
01/18/2017	41 - 9 - 58 - 40 - 53	12	2	$135 Million	Roll	
01/14/2017	55 - 69 - 23 - 64 - 59	13	5	$121 Million	Roll	
01/11/2017	1 - 16 - 13 - 43 - 3	24	2	$106 Million	Roll	
01/07/2017	37 - 63 - 12 - 24 - 3	10	2	$94 Million	Roll	
01/04/2017	17 - 16 - 42 - 41 - 29	4	3	$80 Million	Roll	
12/31/2016	1 - 28 - 3 - 67 - 57	9	2	$70 Million	Roll	
12/28/2016	30 - 23 - 44 - 58 - 16	4	2	$60 Million	Roll	
12/24/2016	38 - 52 - 42 - 51 - 28	21	2	$50 Million	Roll	
12/21/2016	25 - 68 - 40 - 54 - 33	3	5	$40 Million	Roll	
12/17/2016	16 - 40 - 8 - 48 - 1	10	2	$119 Million	Out of State Winner	
12/14/2016	39 - 18 - 66 - 37 - 26	15	3	$100 Million	Roll	
12/10/2016	32 - 21 - 12 - 44 - 66	15	2	$85 Million	Roll	
12/07/2016	49 - 64 - 48 - 41 - 53	20	2	$67 Million	Roll	
12/03/2016	27 - 26 - 33 - 8 - 10	22	2	$54 Million	Roll	
11/30/2016	3 - 45 - 25 - 14 - 18	7	2	$40 Million	Roll	
11/26/2016	21 - 17 - 37 - 44 - 19	16	2	$403 Million	Out of State Winner	
11/23/2016	7 - 61 - 41 - 47 - 32	3	2	$359 Million	Roll	
11/19/2016	24 - 61 - 43 - 16 - 28	21	2	$320 Million	Roll	
11/16/2016	28 - 61 - 63 - 41 - 65	7	2	$293 Million	Roll	
11/12/2016	20 - 8 - 27 - 52 - 17	24	2	$258 Million	Roll	
11/09/2016	28 - 31 - 54 - 25 - 1	2	2	$236 Million	Roll	
11/05/2016	31 - 50 - 69 - 21 - 51	8	3	$217 Million	Roll	
11/02/2016	18 - 54 - 61 - 13 - 37	5	2	$198 Million	Roll	
10/29/2016	42 - 48 - 20 - 21 - 19	23	3	$180 Million	Roll	
10/26/2016	48 - 56 - 2 - 16 - 3	24	2	$164 Million	Roll	
10/22/2016	1 - 55 - 33 - 28 - 56	22	2	$151 Million	Roll	
10/19/2016	43 - 63 - 16 - 38 - 10	23	2	$136 Million	Roll	
10/15/2016	64 - 49 - 57 - 23 - 67	20	2	$122 Million	Roll	
10/12/2016	34 - 44 - 30 - 16 - 37	16	2	$107 Million	Roll	
10/08/2016	3 - 64 - 68 - 61 - 54	9	2	$91 Million	Roll	
10/05/2016	60 - 29 - 18 - 27 - 8	15	2	$80 Million	Roll	
10/01/2016	12 - 64 - 50 - 61 - 2	1	2	$70 Million	Roll	
09/28/2016	30 - 53 - 62 - 38 - 52	1	3	$60 Million	Roll	
09/24/2016	15 - 7 - 29 - 41 - 20	22	2	$50 Million	Roll	
09/21/2016	63 - 67 - 1 - 69 - 28	17	4	$40 Million	Roll	
09/17/2016	51 - 19 - 9 - 62 - 55	14	4	$244 Million	Out of State Winner	
09/14/2016	10 - 31 - 23 - 28 - 11	14	2	$222 Million	Roll	
09/10/2016	3 - 17 - 49 - 68 - 55	8	2	$205 Million	Roll	
09/07/2016	23 - 55 - 33 - 22 - 29	21	2	$186 Million	Roll	
09/03/2016	39 - 59 - 7 - 67 - 50	25	3	$170 Million	Roll	
08/31/2016	10 - 56 - 24 - 61 - 5	12	2	$154 Million	Roll	
08/27/2016	48 - 32 - 63 - 4 - 49	20	2	$142 Million	Roll	
08/24/2016	25 - 11 - 9 - 65 - 64	16	3	$127 Million	Roll	
08/20/2016	68 - 3 - 21 - 6 - 60	24	2	$110 Million	Roll	
08/17/2016	44 - 49 - 33 - 50 - 52	8	3	$94 Million	Roll	
08/13/2016	44 - 38 - 64 - 69 - 60	6	2	$82 Million	Roll	
08/10/2016	64 - 56 - 61 - 23 - 67	12	5	$67 Million	Roll	
08/06/2016	52 - 33 - 47 - 36 - 20	12	3	$52 Million	Roll	
08/03/2016	66 - 27 - 11 - 9 - 67	2	3	$40 Million	Roll	
07/30/2016	32 - 21 - 17 - 23 - 11	5	2	$478 Million	Out of State Winner	
07/27/2016	10 - 47 - 68 - 65 - 50	24	2	$422 Million	Roll	
07/23/2016	39 - 5 - 35 - 7 - 23	11	2	$390 Million	Roll	
07/20/2016	6 - 58 - 66 - 25 - 35	5	2	$361 Million	Roll	
07/16/2016	11 - 50 - 40 - 17 - 62	26	2	$333 Million	Roll	
07/13/2016	57 - 15 - 29 - 3 - 54	10	3	$311 Million	Roll	
07/09/2016	32 - 28 - 10 - 64 - 61	12	3	$288 Million	Roll	
07/06/2016	66 - 57 - 2 - 31 - 24	18	3	$257 Million	Roll	
07/02/2016	63 - 39 - 59 - 34 - 10	4	2	$243 Million	Roll	
06/29/2016	29 - 37 - 23 - 64 - 60	6	2	$222 Million	Roll	
06/25/2016	36 - 3 - 56 - 69 - 27	25	2	$203 Million	Roll	
06/22/2016	14 - 42 - 43 - 52 - 40	17	3	$184 Million	Roll	
06/18/2016	53 - 2 - 23 - 63 - 41	11	2	$169 Million	Roll	
06/15/2016	33 - 4 - 24 - 31 - 22	10	2	$153 Million	Roll	
06/11/2016	36 - 58 - 27 - 41 - 20	7	2	$141 Million	Roll	
06/08/2016	37 - 69 - 12 - 25 - 60	20	3	$123 Million	Roll	
06/04/2016	20 - 16 - 43 - 64 - 22	17	2	$110 Million	Roll	
06/01/2016	40 - 69 - 33 - 23 - 30	12	5	$100 Million	Roll	
05/28/2016	6 - 34 - 33 - 59 - 58	12	2	$90 Million	Roll	
05/25/2016	64 - 24 - 59 - 41 - 11	15	3	$80 Million	Roll	
05/21/2016	9 - 32 - 5 - 7 - 23	26	4	$70 Million	Roll	
05/18/2016	25 - 67 - 39 - 23 - 54	11	3	$60 Million	Roll	
05/14/2016	64 - 27 - 65 - 13 - 47	9	3	$50 Million	Roll	
05/11/2016	69 - 32 - 52 - 66 - 20	23	3	$40 Million	Roll	
05/07/2016	25 - 66 - 44 - 5 - 26	9	2	$415 Million	Out of State Winner	
05/04/2016	47 - 69 - 30 - 66 - 57	3	3	$348 Million	Roll	
04/30/2016	32 - 16 - 3 - 34 - 12	14	3	$314 Million	Roll	
04/27/2016	25 - 39 - 64 - 2 - 33	17	2	$282 Million	Roll	
04/23/2016	46 - 62 - 59 - 35 - 19	13	5	$251 Million	Roll	
04/20/2016	62 - 30 - 12 - 25 - 52	8	3	$227 Million	Roll	
04/16/2016	32 - 3 - 25 - 51 - 18	3	2	$205 Million	Roll	
04/13/2016	30 - 35 - 38 - 33 - 64	22	3	$184 Million	Roll	
04/09/2016	14 - 23 - 41 - 61 - 22	9	3	$168 Million	Roll	
04/06/2016	65 - 28 - 49 - 60 - 4	25	2	$148 Million	Roll	
04/02/2016	9 - 61 - 28 - 40 - 30	3	2	$135 Million	Roll	
03/30/2016	55 - 24 - 63 - 53 - 44	19	2	$116 Million	Roll	
03/26/2016	23 - 42 - 68 - 52 - 11	6	3	$101 Million	Roll	
03/23/2016	22 - 15 - 49 - 5 - 8	25	3	$90 Million	Roll	
03/19/2016	11 - 60 - 23 - 54 - 43	3	3	$80 Million	Roll	
03/16/2016	46 - 50 - 12 - 13 - 10	21	3	$70 Million	Roll	
03/12/2016	28 - 11 - 50 - 57 - 62	23	2	$60 Million	Roll	
03/09/2016	32 - 34 - 14 - 23 - 68	3	3	$50 Million	Roll	
03/05/2016	3 - 34 - 27 - 59 - 69	19	2	$40 Million	Roll	
03/02/2016	62 - 52 - 13 - 12 - 44	6	2	$292 Million	Out of State Winner	
02/27/2016	22 - 11 - 53 - 21 - 10	18	3	$266 Million	Roll	
02/24/2016	67 - 21 - 65 - 31 - 64	5	3	$236 Million	Roll	
02/20/2016	54 - 12 - 11 - 16 - 15	25	5	$212 Million	Roll	
02/17/2016	29 - 27 - 7 - 40 - 17	25	2	$189 Million	Roll	
02/13/2016	7 - 15 - 36 - 18 - 19	20	2	$176 Million	Roll	
02/10/2016	2 - 62 - 40 - 50 - 3	5	2	$157 Million	Roll	
02/06/2016	13 - 4 - 36 - 31 - 52	8	3	$136 Million	Roll	
02/03/2016	26 - 60 - 67 - 31 - 28	23	3	$112 Million	Roll	
01/30/2016	16 - 5 - 12 - 31 - 43	18	4	$96 Million	Roll	
01/27/2016	40 - 52 - 3 - 67 - 12	21	2	$75 Million	Roll	
01/23/2016	32 - 22 - 40 - 69 - 34	19	4	$60 Million	Roll	
01/20/2016	44 - 5 - 39 - 69 - 47	24	5	$50 Million	Roll	
01/16/2016	61 - 52 - 51 - 64 - 3	6	2	$40 Million	Roll	
01/13/2016	8 - 27 - 34 - 4 - 19	10	2	$1.50 Billion	Out of State Winner	
01/09/2016	32 - 16 - 19 - 57 - 34	13	3	$900 Million	Roll	
01/06/2016	47 - 2 - 63 - 62 - 11	17	3	$500 Million	Roll	
01/02/2016	42 - 15 - 6 - 5 - 29	10	2	$334 Million	Roll	
12/30/2015	12 - 61 - 54 - 38 - 36	22	3	$300 Million	Roll	
12/26/2015	65 - 40 - 44 - 59 - 27	20	2	$255 Million	Roll	
12/23/2015	67 - 16 - 63 - 38 - 55	25	4	$227 Million	Roll	
12/19/2015	30 - 68 - 59 - 41 - 28	10	2	$202 Million	Roll	
12/16/2015	9 - 42 - 10 - 55 - 32	6	2	$180 Million	Roll	
12/12/2015	62 - 2 - 30 - 19 - 14	22	2	$164 Million	Roll	
12/09/2015	16 - 46 - 10 - 56 - 7	1	2	$145 Million	Roll	
12/05/2015	47 - 33 - 68 - 27 - 13	13	2	$127 Million	Roll	
12/02/2015	14 - 18 - 19 - 64 - 32	9	2	$110 Million	Roll	
11/28/2015	47 - 2 - 66 - 67 - 6	2	3	$100 Million	Roll	
11/25/2015	53 - 16 - 69 - 58 - 29	21	2	$90 Million	Roll	
11/21/2015	37 - 57 - 47 - 50 - 52	21	3	$80 Million	Roll	
11/18/2015	40 - 17 - 46 - 69 - 41	6	2	$70 Million	Roll	
11/14/2015	66 - 37 - 22 - 14 - 45	5	3	$60 Million	Roll	
11/11/2015	26 - 4 - 32 - 55 - 64	18	3	$50 Million	Roll	
11/07/2015	50 - 53 - 7 - 16 - 25	15	2	$40 Million	Roll	
11/04/2015	12 - 2 - 17 - 20 - 65	17	4	$142 Million	Out of State Winner	
10/31/2015	9 - 47 - 20 - 25 - 68	7	2	$127 Million	Roll	
10/28/2015	56 - 62 - 54 - 63 - 4	10	2	$110 Million	Roll	
10/24/2015	20 - 31 - 56 - 64 - 60	2	3	$100 Million	Roll	
10/21/2015	57 - 32 - 30 - 42 - 56	11	4	$90 Million	Roll	
10/17/2015	57 - 62 - 69 - 49 - 48	19	3	$80 Million	Roll	
10/14/2015	20 - 15 - 31 - 40 - 29	1	2	$70 Million	Roll	
10/10/2015	27 - 68 - 12 - 43 - 29	1	2	$60 Million	Roll	
10/07/2015	52 - 40 - 48 - 18 - 30	9	3	$50 Million	Roll	
 First Drawing for new Powerball matrix was 10/07/2015.
10/03/2015	33 - 6 - 46 - 44 - 26	4	2	$40 Million	Roll	
09/30/2015	40 - 59 - 21 - 39 - 55	17	3	$301 Million	Out of State Winner	
09/26/2015	23 - 57 - 42 - 31 - 50	5	3	$267 Million	Roll	
09/23/2015	8 - 29 - 51 - 58 - 41	5	2	$235 Million	Roll	
09/19/2015	12 - 43 - 17 - 26 - 48	24	2	$208 Million	Roll	
09/16/2015	7 - 5 - 39 - 24 - 31	7	3	$185 Million	Roll	
09/12/2015	35 - 3 - 16 - 2 - 13	27	3	$167 Million	Roll	
09/09/2015	50 - 44 - 45 - 51 - 47	8	2	$149 Million	Roll	
09/05/2015	29 - 10 - 18 - 16 - 45	19	2	$133 Million	Roll	
09/02/2015	17 - 46 - 22 - 30 - 56	16	3	$120 Million	Roll	
08/29/2015	25 - 18 - 29 - 21 - 28	16	2	$110 Million	Roll	
08/26/2015	22 - 56 - 2 - 45 - 32	12	5	$100 Million	Roll	
08/22/2015	12 - 14 - 21 - 4 - 55	7	4	$90 Million	Roll	
08/19/2015	6 - 43 - 48 - 50 - 8	7	2	$80 Million	Roll	
08/15/2015	3 - 17 - 13 - 52 - 42	24	4	$70 Million	Roll	
08/12/2015	29 - 38 - 8 - 13 - 52	28	2	$60 Million	Roll	
08/08/2015	34 - 48 - 54 - 52 - 9	15	4	$50 Million	Roll	
08/05/2015	42 - 14 - 9 - 16 - 11	19	2	$40 Million	Roll	
08/01/2015	13 - 7 - 49 - 24 - 57	15	3	$110 Million	Out of State Winner	
07/29/2015	4 - 52 - 22 - 27 - 28	35	3	$100 Million	Roll	
07/25/2015	27 - 44 - 41 - 29 - 34	2	3	$90 Million	Roll	
07/22/2015	31 - 12 - 57 - 44 - 43	11	2	$80 Million	Roll	
07/18/2015	39 - 6 - 37 - 45 - 55	33	3	$70 Million	Roll	
07/15/2015	45 - 34 - 13 - 50 - 16	11	2	$60 Million	Roll	
07/11/2015	46 - 39 - 52 - 11 - 54	3	2	$50 Million	Roll	
07/08/2015	30 - 27 - 25 - 15 - 4	18	3	$40 Million	Roll	
07/04/2015	24 - 18 - 6 - 3 - 14	21	3	$70 Million	Out of State Winner	
07/01/2015	24 - 41 - 31 - 26 - 7	25	2	$60 Million	Roll	
06/27/2015	35 - 18 - 46 - 49 - 28	27	5	$50 Million	Roll	
06/24/2015	5 - 10 - 3 - 22 - 32	7	4	$40 Million	Roll	
06/20/2015	20 - 16 - 10 - 57 - 9	15	2	$80 Million	Out of State Winner	
06/17/2015	22 - 20 - 21 - 54 - 41	7	3	$70 Million	Roll	
06/13/2015	41 - 29 - 52 - 54 - 48	29	2	$60 Million	Roll	
06/10/2015	49 - 32 - 31 - 53 - 48	25	2	$50 Million	Roll	
06/06/2015	18 - 43 - 13 - 8 - 27	15	4	$40 Million	Roll	
06/03/2015	6 - 40 - 37 - 13 - 8	11	2	$188 Million	Out of State Winner	
05/30/2015	57 - 25 - 8 - 56 - 9	22	2	$171 Million	Roll	
05/27/2015	8 - 15 - 59 - 34 - 53	23	2	$154 Million	Roll	
05/23/2015	31 - 9 - 43 - 17 - 15	16	4	$138 Million	Roll	
05/20/2015	12 - 1 - 44 - 28 - 35	25	3	$121 Million	Roll	
05/16/2015	48 - 24 - 38 - 52 - 29	32	2	$110 Million	Roll	
05/13/2015	31 - 29 - 1 - 47 - 25	7	3	$100 Million	Roll	
05/09/2015	58 - 4 - 17 - 35 - 15	17	3	$90 Million	Roll	
05/06/2015	24 - 41 - 39 - 23 - 27	30	5	$80 Million	Roll	
05/02/2015	2 - 31 - 6 - 11 - 30	33	3	$70 Million	Roll	
04/29/2015	26 - 1 - 38 - 34 - 51	6	3	$60 Million	Roll	
04/25/2015	45 - 21 - 35 - 33 - 38	12	2	$50 Million	Roll	
04/22/2015	25 - 10 - 14 - 39 - 53	18	2	$40 Million	Roll	
04/18/2015	31 - 22 - 13 - 23 - 29	17	3	$50 Million	Out of State Winner	
04/15/2015	1 - 21 - 29 - 16 - 40	30	3	$40 Million	Roll	
04/11/2015	58 - 1 - 32 - 42 - 12	12	2	$80 Million	Out of State Winner	
04/08/2015	1 - 19 - 45 - 58 - 46	29	2	$70 Million	Roll	
04/04/2015	41 - 33 - 39 - 54 - 40	28	3	$60 Million	Roll	
04/01/2015	44 - 39 - 30 - 33 - 2	1	3	$50 Million	Roll	
03/28/2015	38 - 2 - 12 - 4 - 6	17	3	$40 Million	Roll	
03/25/2015	54 - 23 - 19 - 7 - 50	14	2	$40 Million	Out of State Winner	
03/21/2015	30 - 38 - 16 - 11 - 42	7	4	$50 Million	Out of State Winner	
03/18/2015	30 - 47 - 33 - 25 - 14	8	2	$40 Million	Roll	
03/14/2015	46 - 47 - 8 - 14 - 39	18	2	$137 Million	Out of State Winner	
03/11/2015	24 - 44 - 31 - 11 - 40	27	2	$119 Million	Roll	
03/07/2015	50 - 42 - 36 - 38 - 34	33	4	$100 Million	Roll	
03/04/2015	8 - 35 - 15 - 12 - 50	32	2	$90 Million	Roll	
02/28/2015	25 - 28 - 11 - 17 - 46	12	2	$80 Million	Roll	
02/25/2015	39 - 17 - 21 - 32 - 19	8	3	$70 Million	Roll	
02/21/2015	18 - 51 - 14 - 34 - 10	26	2	$60 Million	Roll	
02/18/2015	29 - 1 - 49 - 9 - 32	22	2	$50 Million	Roll	
02/14/2015	44 - 45 - 1 - 24 - 51	28	2	$40 Million	Roll	
02/11/2015	25 - 11 - 54 - 13 - 39	19	3	$500 Million	1	CVO
02/07/2015	34 - 58 - 5 - 21 - 10	33	5	$380 Million	Roll	
02/04/2015	51 - 52 - 36 - 24 - 56	22	2	$317 Million	Roll	
01/31/2015	16 - 5 - 50 - 11 - 26	34	2	$289 Million	Roll	
01/28/2015	49 - 24 - 12 - 36 - 35	1	5	$261 Million	Roll	
01/24/2015	19 - 16 - 20 - 33 - 29	10	2	$230 Million	Roll	
01/21/2015	57 - 12 - 28 - 15 - 11	23	4	$208 Million	Roll	
01/17/2015	15 - 27 - 23 - 36 - 16	9	2	$194 Million	Roll	
01/14/2015	10 - 4 - 53 - 2 - 41	22	5	$176 Million	Roll	
01/10/2015	19 - 9 - 29 - 2 - 28	19	5	$162 Million	Roll	
01/07/2015	47 - 49 - 59 - 15 - 14	10	2	$146 Million	Roll	
01/03/2015	4 - 43 - 46 - 55 - 18	25	3	$131 Million	Roll	
12/31/2014	40 - 27 - 17 - 53 - 37	35	2	$120 Million	Roll	
12/27/2014	36 - 14 - 10 - 11 - 7	15	2	$110 Million	Roll	
12/24/2014	46 - 11 - 12 - 47 - 50	22	4	$100 Million	Roll	
12/20/2014	19 - 15 - 56 - 31 - 14	5	5	$90 Million	Roll	
12/17/2014	47 - 31 - 48 - 38 - 22	15	3	$80 Million	Roll	
12/13/2014	5 - 13 - 43 - 55 - 28	33	3	$70 Million	Roll	
12/10/2014	48 - 34 - 55 - 44 - 54	10	2	$60 Million	Roll	
